post_id,upload_date,video_duration_min,avg_view_duration_sec,avg_view_percentage,subscribers_gained,traffic_source,ctr_percentage,impressions,likes,comments,shares,total_watch_time_hours,content_category
YT0000001,2025-04-08 08:32:24.541512,45.55,2422,88.62,564,Shorts Feed,28.7,1975899,88186,1055,63,1329340.94,Sports
YT0000002,2025-06-30 08:32:24.541512,59.12,562,15.84,523,Notifications,25.67,1552915,69884,5883,131,242427.29,Vlog
YT0000003,2025-06-26 08:32:24.541512,40.06,2369,98.56,628,External,10.13,90886,37931,3746,2555,59808.04,News
YT0000004,2025-03-04 08:32:24.541512,42.54,2097,82.16,239,External,25.0,999294,38861,1575,900,582088.76,Education
YT0000005,2025-10-25 08:32:24.541512,31.4,1424,75.58,138,Shorts Feed,23.49,1656171,57043,3150,1452,655107.64,Sports
YT0000006,2025-07-22 08:32:24.541512,55.38,1307,39.33,407,Browse,12.69,694662,73344,2328,2815,252200.9,Music
YT0000007,2025-03-22 08:32:24.541512,3.74,168,74.87,7,Channel Page,13.16,1609914,20377,1816,1272,75129.32,Sports
YT0000008,2025-06-12 08:32:24.541512,30.36,1056,57.97,552,Shorts Feed,2.15,119089,9623,6312,581,34932.77,News
YT0000009,2025-10-23 08:32:24.541512,49.64,1256,42.17,471,Search,14.65,214076,51296,4144,647,74688.74,Education
YT0000010,2025-04-11 08:32:24.541512,18.8,36,3.19,697,Channel Page,28.25,1613309,41580,7949,1333,16133.09,Vlog
YT0000011,2025-04-28 08:32:24.541512,13.45,234,29.0,640,Suggested,12.02,1563710,7692,35,994,101641.15,News
YT0000012,2025-08-23 08:32:24.541512,21.33,826,64.54,622,Notifications,19.93,922988,20879,5741,2857,211774.47,News
YT0000013,2024-12-07 08:32:24.541512,50.28,2831,93.84,547,Browse,10.13,1103454,40760,7593,906,867743.96,Music
YT0000014,2025-03-14 08:32:24.541512,34.86,252,12.05,46,Channel Page,12.96,1819779,28413,1147,1372,127384.53,Tech
YT0000015,2025-05-28 08:32:24.541512,33.02,817,41.24,572,Browse,27.68,1901068,41834,6579,819,431436.82,Education
YT0000016,2024-12-10 08:32:24.541512,48.92,1543,52.57,8,External,3.13,1688831,54203,219,932,723851.73,Reacts
YT0000017,2024-12-29 08:32:24.541512,59.59,3350,93.7,497,Playlist,9.29,1442015,70562,4466,1808,1341875.07,News
YT0000018,2025-06-12 08:32:24.541512,27.41,1443,87.74,82,External,24.58,1405774,53285,2106,48,563481.08,Tech
YT0000019,2025-09-27 08:32:24.541512,14.93,426,47.56,575,External,0.52,857984,83164,435,1278,101528.11,Reacts
YT0000020,2025-01-24 08:32:24.541512,57.81,1841,53.08,154,Playlist,6.15,818863,12649,7061,1626,418757.44,Education
YT0000021,2025-05-14 08:32:24.541512,13.99,209,24.9,84,External,26.82,304048,96433,609,2688,17651.68,Gaming
YT0000022,2025-01-22 08:32:24.541512,39.76,2359,98.88,191,Browse,9.63,798928,39127,3862,685,523519.76,Tech
YT0000023,2025-09-13 08:32:24.541512,57.09,9,0.26,86,Browse,18.87,1150310,91353,1919,128,2875.78,Comedy
YT0000024,2025-03-18 08:32:24.541512,4.55,176,64.47,343,Browse,22.85,1983584,77126,3712,2311,96975.22,Gaming
YT0000025,2025-02-19 08:32:24.541512,59.81,1690,47.09,463,Playlist,23.23,1323604,60973,6807,97,621358.54,Music
YT0000026,2025-03-31 08:32:24.541512,44.71,1738,64.79,637,Playlist,21.11,482494,39146,6869,2241,232937.38,Sports
YT0000027,2025-04-10 08:32:24.541512,11.69,553,78.84,191,Playlist,28.97,172837,66543,414,1161,26549.68,Vlog
YT0000028,2025-10-22 08:32:24.541512,51.97,114,3.66,58,Playlist,23.62,1592929,21747,1641,2196,50442.75,Comedy
YT0000029,2025-04-14 08:32:24.541512,19.01,880,77.15,180,Playlist,8.75,1353142,93980,1968,1269,330768.04,Music
YT0000030,2025-11-04 08:32:24.541512,41.63,2166,86.72,420,Notifications,6.81,309679,49552,2108,59,186323.53,Education
YT0000031,2025-03-12 08:32:24.541512,58.79,2292,64.98,462,Channel Page,28.92,1798820,69111,7377,2913,1145248.73,Music
YT0000032,2025-08-28 08:32:24.541512,38.93,664,28.43,398,Playlist,7.08,1338292,93564,75,2618,246840.52,Sports
YT0000033,2025-10-31 08:32:24.541512,51.73,1930,62.18,478,Playlist,27.55,1162630,21436,4439,2858,623298.86,Education
YT0000034,2025-02-17 08:32:24.541512,26.11,810,51.7,329,External,3.67,982392,83131,5662,2333,221038.2,Comedy
YT0000035,2025-02-05 08:32:24.541512,45.63,502,18.34,32,Browse,2.48,1791230,80909,6601,711,249777.07,Sports
YT0000036,2025-02-09 08:32:24.541512,22.65,165,12.14,29,Shorts Feed,9.28,869367,7523,2069,2624,39845.99,Reacts
YT0000037,2025-10-08 08:32:24.541512,6.44,307,79.45,86,Search,7.59,592845,98214,3477,21,50556.5,Vlog
YT0000038,2025-05-02 08:32:24.541512,40.35,1441,59.52,500,Shorts Feed,27.9,1141305,4809,5129,2346,456839.03,Comedy
YT0000039,2025-05-02 08:32:24.541512,31.71,1421,74.69,210,Browse,18.35,1816016,4847,634,615,716821.87,Reacts
YT0000040,2025-05-14 08:32:24.541512,59.27,1695,47.66,607,Search,17.21,716947,60810,2118,523,337562.55,Comedy
YT0000041,2025-07-26 08:32:24.541512,53.71,285,8.84,676,Search,29.13,1642032,45607,6842,628,129994.2,Education
YT0000042,2024-12-04 08:32:24.541512,23.17,277,19.93,431,Browse,20.69,280578,95770,3063,800,21588.92,Reacts
YT0000043,2025-11-14 08:32:24.541512,12.75,284,37.12,603,Channel Page,2.35,1914902,33817,2791,1085,151064.49,Vlog
YT0000044,2025-02-13 08:32:24.541512,28.56,1112,64.89,688,Notifications,10.51,1328917,45421,7880,2412,410487.7,Sports
YT0000045,2025-09-15 08:32:24.541512,27.82,1163,69.67,447,Browse,3.43,563546,12241,3596,534,182056.67,News
YT0000046,2025-01-27 08:32:24.541512,54.28,3010,92.42,436,Browse,8.44,639046,47060,3031,849,534313.46,Music
YT0000047,2025-06-13 08:32:24.541512,45.31,874,32.15,145,External,15.57,1788434,58844,1681,989,434192.03,Gaming
YT0000048,2025-10-12 08:32:24.541512,56.43,1571,46.4,373,External,28.48,1231165,93627,4437,2413,537266.73,Vlog
YT0000049,2025-09-20 08:32:24.541512,16.58,774,77.8,464,Browse,25.35,1688191,43452,851,2420,362961.06,Reacts
YT0000050,2025-03-30 08:32:24.541512,19.73,596,50.35,427,Search,15.03,541099,62454,3269,2033,89581.95,News
YT0000051,2025-01-23 08:32:24.541512,17.21,33,3.2,142,Channel Page,25.43,612784,10770,86,2785,5617.19,Vlog
YT0000052,2025-05-06 08:32:24.541512,28.91,302,17.41,37,Search,14.06,666499,4601,7235,2152,55911.86,Reacts
YT0000053,2025-08-11 08:32:24.541512,53.34,1157,36.15,173,Playlist,23.48,660543,8277,6461,1082,212291.18,Tech
YT0000054,2025-09-12 08:32:24.541512,20.83,195,15.6,39,Playlist,16.41,464755,13334,1678,392,25174.23,Tech
YT0000055,2025-01-05 08:32:24.541512,59.28,1803,50.69,205,External,14.41,24428,46846,3327,1184,12234.36,Vlog
YT0000056,2024-12-06 08:32:24.541512,19.91,458,38.34,94,Search,13.86,545316,18431,6090,1599,69376.31,Tech
YT0000057,2025-04-06 08:32:24.541512,39.41,319,13.49,546,Channel Page,0.78,1628311,79735,5705,1381,144286.45,Reacts
YT0000058,2025-11-08 08:32:24.541512,53.42,1263,39.4,274,Browse,4.05,767523,97220,7995,2129,269272.65,Reacts
YT0000059,2025-01-18 08:32:24.541512,7.59,18,3.95,687,External,17.55,675368,57520,1404,2330,3376.84,Vlog
YT0000060,2025-03-08 08:32:24.541512,2.62,72,45.8,414,Notifications,26.43,791906,95120,3503,2184,15838.12,News
YT0000061,2025-01-15 08:32:24.541512,6.84,251,61.16,183,Browse,24.7,1920284,6199,5122,2466,133886.47,Sports
YT0000062,2025-04-26 08:32:24.541512,36.35,131,6.01,460,Notifications,2.52,1881487,85977,2963,2180,68465.22,Comedy
YT0000063,2025-02-16 08:32:24.541512,18.42,556,50.31,291,Playlist,25.73,1424350,27907,2489,936,219982.94,News
YT0000064,2025-04-26 08:32:24.541512,39.1,905,38.58,90,Notifications,14.77,35356,44663,5337,1184,8888.11,Education
YT0000065,2025-10-04 08:32:24.541512,33.84,1681,82.79,599,Search,13.01,142404,662,805,1017,66494.76,Reacts
YT0000066,2025-06-20 08:32:24.541512,49.48,2049,69.02,4,External,26.89,1991149,6718,1180,2417,1133295.64,Education
YT0000067,2025-06-11 08:32:24.541512,36.36,1023,46.89,271,Notifications,1.42,1224102,27491,6106,2925,347848.98,News
YT0000068,2024-12-20 08:32:24.541512,13.7,740,90.02,685,Notifications,13.45,1577697,12773,4446,951,324304.38,Comedy
YT0000069,2025-09-07 08:32:24.541512,50.41,2759,91.22,441,Playlist,19.84,916109,10126,4228,2788,702095.76,Comedy
YT0000070,2025-01-25 08:32:24.541512,39.06,257,10.97,672,Suggested,16.1,105582,57193,2223,2853,7537.38,Gaming
YT0000071,2025-01-28 08:32:24.541512,6.21,172,46.16,681,Notifications,3.78,655170,91370,5383,194,31302.57,Comedy
YT0000072,2025-03-28 08:32:24.541512,17.57,116,11.0,242,External,28.2,339881,79417,792,2843,10951.72,Sports
YT0000073,2025-11-12 08:32:24.541512,23.48,1186,84.19,292,Notifications,19.95,307868,77047,5368,1584,101425.4,Comedy
YT0000074,2025-11-12 08:32:24.541512,58.94,3242,91.68,300,Suggested,18.42,351737,38008,7039,1071,316758.71,News
YT0000075,2025-02-16 08:32:24.541512,6.51,259,66.31,683,Playlist,17.8,1704526,55730,4880,1730,122631.18,Gaming
YT0000076,2025-08-02 08:32:24.541512,31.31,892,47.48,90,Browse,12.46,131518,75057,3080,759,32587.24,News
YT0000077,2025-11-13 08:32:24.541512,33.43,1507,75.13,502,Notifications,23.93,1106680,99480,2617,865,463268.54,News
YT0000078,2024-11-26 08:32:24.541512,22.94,329,23.9,298,Suggested,0.91,764571,56518,3475,2720,69873.29,Music
YT0000079,2025-07-02 08:32:24.541512,19.69,768,65.01,563,Channel Page,2.13,107448,85682,7524,858,22922.24,Gaming
YT0000080,2025-11-01 08:32:24.541512,19.42,1148,98.52,217,Playlist,29.44,1066594,67259,4663,2355,340124.98,News
YT0000081,2025-04-12 08:32:24.541512,6.02,34,9.41,613,Playlist,16.33,1752074,23263,21,2727,16547.37,Music
YT0000082,2025-10-31 08:32:24.541512,11.16,513,76.61,485,Shorts Feed,25.64,1200381,75459,3074,1020,171054.29,Music
YT0000083,2025-04-17 08:32:24.541512,59.92,3172,88.23,530,Shorts Feed,8.18,410019,3741,6217,880,361272.3,Gaming
YT0000084,2025-10-10 08:32:24.541512,37.89,1975,86.87,330,Suggested,1.36,1487653,39163,3580,676,816142.97,Education
